id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2023-1321068;2023-01-10;1;Vente;260000.0;15.0;;QUAI DE L OISE;6879;75019.0;75119;Paris 19e Arrondissement;75;;;75119000BH0045;;;381;;;;;;;;;;1;2.0;Appartement;31.0;1.0;;;;;;2.38301;48.890943
2023-1321069;2023-01-04;1;Vente;500000.0;6.0;;VC J 20;X350;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AW0023;;;140;;341;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.402724;48.873186
2023-1321069;2023-01-04;1;Vente;500000.0;6.0;;VC J 20;X350;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AW0023;;;498;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.402724;48.873186
2023-1321069;2023-01-04;1;Vente;500000.0;6.0;;VC J 20;X350;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AW0023;;;140;;341;;;;;;;;2;2.0;Appartement;74.0;4.0;;;;;;2.402724;48.873186
2023-1321070;2023-01-11;1;Vente;272000.0;39.0;;RUE PETIT;7314;75019.0;75119;Paris 19e Arrondissement;75;;;75119000CT0005;;;6;35.05;;;;;;;;;1;2.0;Appartement;24.0;3.0;;;;;;2.38355;48.885134
2023-1321071;2023-01-10;1;Vente;380000.0;31.0;;RUE PIERRE FONTAINE;3713;75009.0;75109;Paris 9e Arrondissement;75;;;75109000AD0094;;;20;34.45;41;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.333069;48.882654
2023-1321071;2023-01-10;1;Vente;380000.0;31.0;;RUE PIERRE FONTAINE;3713;75009.0;75109;Paris 9e Arrondissement;75;;;75109000AD0094;;;20;34.45;41;;;;;;;;2;2.0;Appartement;30.0;2.0;;;;;;2.333069;48.882654
2023-1321072;2023-01-05;1;Vente;1089450.0;38.0;;RUE EUGENE CARRIERE;3407;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AK0019;;;27;;70;;;;;;;;2;2.0;Appartement;92.0;5.0;;;;;;2.333778;48.891062
2023-1321072;2023-01-05;1;Vente;1089450.0;38.0;;RUE EUGENE CARRIERE;3407;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AK0019;;;27;;70;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.333778;48.891062
2023-1321073;2023-01-05;1;Vente;877400.0;50.0;;RUE DE CLICHY;2116;75009.0;75109;Paris 9e Arrondissement;75;;;75109000AB0082;;;113;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.329696;48.880336
